lr,bs,epochs,activation,fc,train,validate,test
0.005,200,1000,relu,"[100, 50]",100.0,79.7979797979798,71.71717171717171
0.005,200,1000,relu,"[100, 500, 50]",100.0,77.77777777777779,70.70707070707071
0.005,200,1000,relu,"[100, 250, 250, 100]",100.0,79.7979797979798,73.73737373737373
0.005,200,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,72.72727272727273,69.6969696969697
0.005,200,3000,tanh,[],100.0,71.71717171717171,66.66666666666666
0.005,200,3000,tanh,[50],100.0,75.75757575757575,60.60606060606061
0.005,200,3000,tanh,"[100, 50]",100.0,76.76767676767676,70.70707070707071
0.005,200,3000,tanh,"[100, 500, 50]",100.0,75.75757575757575,71.71717171717171
0.005,200,3000,tanh,"[100, 250, 250, 100]",100.0,74.74747474747475,63.63636363636363
0.005,200,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",100.0,69.6969696969697,61.61616161616161
0.005,200,3000,relu,[],100.0,70.70707070707071,64.64646464646465
0.005,200,3000,relu,[50],100.0,82.82828282828282,71.71717171717171
0.005,200,3000,relu,"[100, 50]",100.0,78.78787878787878,71.71717171717171
0.005,200,3000,relu,"[100, 500, 50]",100.0,70.70707070707071,65.65656565656566
0.005,200,3000,relu,"[100, 250, 250, 100]",100.0,72.72727272727273,62.62626262626263
0.005,200,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",10.112359550561797,9.090909090909092,9.090909090909092
0.005,300,1000,tanh,[],93.00873907615481,73.73737373737373,63.63636363636363
0.005,300,1000,tanh,[50],93.3832709113608,73.73737373737373,61.61616161616161
0.005,300,1000,tanh,"[100, 50]",93.25842696629213,77.77777777777779,65.65656565656566
0.005,300,1000,tanh,"[100, 500, 50]",93.88264669163546,71.71717171717171,66.66666666666666
0.005,300,1000,tanh,"[100, 250, 250, 100]",93.88264669163546,77.77777777777779,60.60606060606061
0.005,300,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",88.26466916354558,51.515151515151516,44.44444444444444
0.005,300,1000,relu,[],92.88389513108615,74.74747474747475,62.62626262626263
0.005,300,1000,relu,[50],93.50811485642946,78.78787878787878,69.6969696969697
0.005,300,1000,relu,"[100, 50]",93.75780274656678,82.82828282828282,68.68686868686868
0.005,300,1000,relu,"[100, 500, 50]",94.25717852684144,76.76767676767676,64.64646464646465
0.005,300,1000,relu,"[100, 250, 250, 100]",94.00749063670412,71.71717171717171,65.65656565656566
0.005,300,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",92.63420724094883,65.65656565656566,57.57575757575758
0.005,300,3000,tanh,[],93.00873907615481,73.73737373737373,61.61616161616161
0.005,300,3000,tanh,[50],93.88264669163546,68.68686868686868,62.62626262626263
0.005,300,3000,tanh,"[100, 50]",94.25717852684144,76.76767676767676,64.64646464646465
0.005,300,3000,tanh,"[100, 500, 50]",92.63420724094883,74.74747474747475,73.73737373737373
0.005,300,3000,tanh,"[100, 250, 250, 100]",93.3832709113608,73.73737373737373,63.63636363636363
0.005,300,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",91.01123595505618,60.60606060606061,56.56565656565656
0.005,300,3000,relu,[],92.63420724094883,75.75757575757575,63.63636363636363
0.005,300,3000,relu,[50],93.50811485642946,75.75757575757575,70.70707070707071
0.005,300,3000,relu,"[100, 50]",94.00749063670412,80.8080808080808,69.6969696969697
0.005,300,3000,relu,"[100, 500, 50]",93.63295880149812,75.75757575757575,65.65656565656566
0.005,300,3000,relu,"[100, 250, 250, 100]",93.25842696629213,78.78787878787878,67.67676767676768
0.005,300,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,100,1000,tanh,[],100.0,71.71717171717171,64.64646464646465
0.1,100,1000,tanh,[50],86.14232209737828,67.67676767676768,56.56565656565656
0.1,100,1000,tanh,"[100, 50]",88.5143570536829,49.494949494949495,52.52525252525253
0.1,100,1000,tanh,"[100, 500, 50]",53.18352059925093,42.42424242424242,43.43434343434344
0.1,100,1000,tanh,"[100, 250, 250, 100]",47.31585518102372,43.43434343434344,34.34343434343434
0.1,100,1000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",38.57677902621723,40.4040404040404,33.33333333333333
0.1,100,1000,relu,[],100.0,71.71717171717171,62.62626262626263
0.1,100,1000,relu,[50],100.0,76.76767676767676,60.60606060606061
0.1,100,1000,relu,"[100, 50]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,100,1000,relu,"[100, 500, 50]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,100,1000,relu,"[100, 250, 250, 100]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,100,1000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,100,3000,tanh,[],100.0,59.59595959595959,50.505050505050505
0.1,100,3000,tanh,[50],92.50936329588015,55.55555555555556,55.55555555555556
0.1,100,3000,tanh,"[100, 50]",81.5230961298377,52.52525252525253,47.474747474747474
0.1,100,3000,tanh,"[100, 500, 50]",57.927590511860174,46.464646464646464,44.44444444444444
0.1,100,3000,tanh,"[100, 250, 250, 100]",43.07116104868914,31.313131313131315,26.262626262626267
0.1,100,3000,tanh,"[256, 512, 1024, 1024, 512, 256, 128]",36.329588014981276,27.27272727272727,34.34343434343434
0.1,100,3000,relu,[],100.0,60.60606060606061,48.484848484848484
0.1,100,3000,relu,[50],100.0,72.72727272727273,67.67676767676768
0.1,100,3000,relu,"[100, 50]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,100,3000,relu,"[100, 500, 50]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,100,3000,relu,"[100, 250, 250, 100]",10.112359550561797,10.1010101010101,10.1010101010101
0.1,100,3000,relu,"[256, 512, 1024, 1024, 512, 256, 128]",9.987515605493133,10.1010101010101,10.1010101010101
0.1,200,1000,tanh,[],100.0,71.71717171717171,67.67676767676768
0.1,200,1000,tanh,[50],92.0099875156055,53.535353535353536,50.505050505050505
